Область знаний,Приоритет,Категория,QA-1,QA-2,QA-3,QA-4,QA-5,QA-6,QA-7,QA-8,QA-9,QA-10,QA-11,QA-12,Средний балл
Локализация и документирование дефектов,1,Проф. навыки,4,4,3,3,3,3,3,3,4,3,3,3,3.29
Оценка и планирование тестирования,1,Проф. навыки,3,3,2,3,2,2,2,2,4,2,3,2,2.43
Написание документации (статьи в Confluence),2,Проф. навыки,4,5,4,2,2,2,2,1,4,4,4,4,3.00
Тестовая документация (правила создания тест-кейсов),1,Проф. навыки,4,4,4,3,3,3,3,2,1,4,4,3,3.43
Регрессионное тестирование,1,Проф. навыки,5,5,5,4,5,3,4,3,1,2,5,4,4.43
Актуализация тест-кейсов,1,Проф. навыки,3,4,3,3,2,3,3,3,1,4,3,2,3.00
Релизные активности,1,Проф. навыки,4,4,4,3,1,2,3,1,1,1,3,2,3.00
Методология рынка (регуляторика и фискальные форматы),2,Проф. навыки,2,2,3,1,1,1,2,2,4,1,1,2,1.83
Автотестирование,2,Проф. навыки,3,3,3,1,1,1,1,1,1,2,4,1,1.86
Ведение задач в Jira,1,Проф. навыки,4,4,3,4,2,3,2,2,1,4,3,4,3.14
Инструмент управления тест-кейсами,1,Инструменты,4,4,4,4,4,3,3,2,3,4,4,3,3.71
Jira,1,Инструменты,4,4,4,4,4,3,3,2,1,4,4,4,3.71
Confluence,1,Инструменты,4,4,4,4,4,3,3,3,4,4,4,4,3.75
TestAPI,1,Инструменты,4,4,3,3,2,3,4,3,4,3,4,3,3.29
Postman,1,Инструменты,5,5,5,5,5,4,4,3,1,5,5,4,4.71
Graylog,1,Инструменты,4,4,4,4,4,3,4,3,2,4,4,3,3.86
Банковская система (внутренняя),1,Инструменты,3,4,3,3,3,3,3,3,1,5,2,3,3.14
DevTools,1,Инструменты,4,4,4,4,4,4,4,4,1,4,4,4,4.00
CRM (инструмент),1,Инструменты,3,4,3,4,3,2,3,2,1,2,3,3,3.14
Мобильное приложение,1,Инструменты,4,3,3,3,3,2,3,2,1,3,2,2,3.00
Charles / Fiddler,2,Инструменты,4,4,4,1,1,1,2,2,4,3,4,1,2.43
Git,2,Инструменты,4,4,3,3,1,2,3,1,3,3,4,2,2.67
JMeter,2,Инструменты,1,1,3,2,1,1,2,1,1,1,2,1,1.44
Redis,1,Инструменты,3,3,1,2,1,1,3,1,1,1,1,1,1.78
Оркестратор,2,Инструменты,2,2,1,2,1,2,4,1,1,1,1,1,1.78
ToolsQA,3,Инструменты,3,1,1,1,1,1,1,1,1,1,4,2,1.29
MinIO,2,Инструменты,2,3,2,1,1,1,2,1,1,1,1,1,1.71
Consul,2,Инструменты,3,3,3,2,1,2,1,1,1,1,3,2,2.14
RabbitMQ,2,Инструменты,2,3,2,2,2,1,1,1,1,2,3,1,1.86
Платёжные продукты,2,Проекты,3,5,1,2,1,2,2,3,5,2,1,2,2.29
Платёжные продукты (инструмент),2,Инструменты,3,5,3,3,3,3,3,3,5,2,3,3,3.29
Мобильное приложение,2,Проекты,2,3,1,3,1,2,3,1,1,2,1,2,2.14
Интернет-банк,2,Проекты,3,1,1,1,4,3,1,1,1,2,3,3,2.00
Клиентские порталы,2,Проекты,2,5,1,1,1,2,1,3,2,5,2,2,1.86
Эквайринг,2,Проекты,5,1,2,1,1,1,3,1,5,2,1,2,2.00
Публичное API,2,Проекты,,,3,,,,1,2,1,,,,1.50
Итоговый коэффициент сотрудника,,,3.00,3.13,2.74,2.48,2.04,2.00,2.54,1.86,2.04,2.67,2.87,2.40,2.48
